,Attrition_Flag,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Gender_F,Gender_M,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
15,0,44,4,37,5,1,2,4234.0,1348,27,0.23,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
16,0,48,4,36,6,2,3,30367.0,1671,27,1.18,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
17,0,41,3,34,4,4,1,13535.0,1028,21,1.35,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
18,0,61,1,56,2,2,3,3193.0,1336,30,13.08,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
19,0,45,2,37,6,1,2,14470.0,1207,21,0.08,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
20,0,47,1,42,5,2,0,20979.0,1178,27,1.26,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
21,1,62,0,49,2,3,3,1438.3,692,16,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
22,0,41,3,33,4,2,1,4470.0,931,18,2.32,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
23,0,47,4,36,3,3,2,2492.0,1126,23,10.26,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
24,0,54,2,42,4,2,3,12217.0,1110,21,0.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
25,0,41,3,28,6,1,2,7768.0,1051,22,3.35,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
26,0,59,1,46,4,1,2,14784.0,1197,23,1.33,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
27,0,63,1,56,3,3,2,10215.0,1904,40,1.39,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
28,0,44,3,34,5,2,2,10100.0,1052,18,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
29,0,47,4,42,6,0,0,4785.0,1045,38,4.45,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
30,0,53,3,33,3,2,3,2753.0,1038,25,10.58,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
31,0,53,2,48,2,5,1,2451.0,1596,26,1.09,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
32,0,41,4,36,4,1,2,8923.0,1589,24,4.42,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
33,0,53,2,38,5,2,3,2650.0,1411,28,9.22,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
34,0,58,0,49,6,2,2,12555.0,1291,24,2.15,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
35,0,55,1,36,4,2,1,3520.0,1407,43,9.04,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
36,0,55,3,36,6,2,3,3035.0,1877,37,12.37,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
37,0,42,4,36,2,3,3,15433.0,966,22,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
38,0,57,1,49,3,3,2,3672.0,1464,28,4.01,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
39,1,66,0,56,5,4,3,7882.0,704,16,1.17,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
40,0,45,3,41,2,2,2,32426.0,1109,28,0.18,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
41,0,51,2,44,4,1,0,6205.0,1347,28,5.55,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
42,0,50,1,43,3,2,3,17304.0,1756,33,2.25,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
43,0,49,3,37,5,2,1,3906.0,1756,32,0.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
44,0,38,4,28,2,3,3,9830.0,1042,23,3.29,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
45,0,49,4,30,3,2,3,34516.0,1444,28,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
46,0,56,2,45,6,2,0,2283.0,1741,27,10.26,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
47,0,59,1,52,3,2,2,2548.0,1719,27,13.13,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
48,0,46,3,40,4,3,3,19458.0,1217,27,1.14,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
49,0,52,1,40,5,1,1,4745.0,1140,40,4.19,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
50,0,52,3,41,6,3,2,2622.0,1878,30,9.51,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
51,1,54,1,40,2,3,1,1438.3,705,19,9.22,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
52,0,66,0,54,3,4,2,3171.0,1946,38,11.27,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
53,0,49,2,36,4,2,0,19763.0,1414,35,2.07,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
54,1,56,2,36,1,3,3,15769.0,602,15,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
55,0,49,4,36,6,4,2,3298.0,1052,32,11.07,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
56,0,49,3,36,2,2,0,2802.0,1295,40,14.03,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
57,0,56,2,50,4,2,3,4458.0,1424,29,7.02,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
58,0,44,5,35,4,1,2,6273.0,1359,25,2.36,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
59,0,42,2,34,4,4,3,3336.0,1168,27,8.45,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
60,0,55,3,47,4,2,3,3436.0,1097,33,9.47,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
61,1,48,2,35,2,4,4,34516.0,691,15,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
62,0,39,1,33,5,3,3,5926.0,1316,28,3.31,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
63,0,44,4,32,2,4,2,23957.0,1276,26,1.28,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
64,0,53,2,44,4,2,2,14734.0,1289,23,1.51,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
65,0,51,4,38,4,1,4,34516.0,1293,32,0.44,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
66,0,57,2,52,5,3,3,6584.0,1353,35,4.36,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
67,0,44,2,20,6,3,3,2084.0,1132,28,11.44,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
68,0,49,2,32,2,2,2,1687.0,1670,17,10.56,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
69,0,50,2,38,6,2,2,25300.0,837,15,0.53,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
70,0,51,4,42,3,2,3,34516.0,1550,41,0.51,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
71,0,55,2,42,5,3,3,2216.0,1540,36,7.47,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
72,0,54,1,43,4,2,3,2910.0,1256,21,11.38,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
73,0,42,5,37,6,2,2,22913.0,1394,35,1.07,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
74,0,44,1,35,3,3,3,24312.0,1341,24,1.19,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
75,0,53,2,36,5,3,2,5272.0,1289,33,4.47,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
76,0,44,4,36,6,4,2,7000.0,1112,23,0.36,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
77,0,37,3,29,4,4,2,7038.0,2339,57,4.16,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
78,0,49,3,30,6,1,2,2536.0,1468,23,11.59,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
79,0,47,2,38,6,3,2,28904.0,1334,35,1.06,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
80,0,47,3,37,4,4,0,8567.0,1457,41,3.18,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
81,0,44,1,36,6,2,2,34516.0,1603,29,0.44,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
82,1,55,4,45,2,4,3,2158.0,615,12,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
83,0,59,1,52,2,3,3,10133.0,1068,20,0.14,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
84,0,53,1,35,5,4,2,34516.0,1590,27,0.35,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
85,0,52,2,47,5,3,0,3085.0,1531,35,10.19,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
86,0,53,2,35,4,2,1,19040.0,1212,31,1.48,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
87,0,43,3,35,5,2,3,4026.0,1237,32,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
88,0,44,3,31,4,3,1,12756.0,1413,14,1.06,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
89,0,57,2,45,5,3,3,5266.0,1516,29,0.0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
90,0,51,2,36,3,2,2,9930.0,1276,21,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
91,0,49,4,38,4,3,0,31302.0,1564,35,1.02,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
92,0,45,1,36,4,4,3,6576.0,1465,34,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
93,0,53,0,42,5,4,1,2664.0,1286,29,12.45,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94,0,45,3,28,5,1,2,2535.0,1312,20,16.03,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
95,0,64,1,52,6,4,3,1709.0,1673,32,8.44,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
96,0,45,3,35,5,4,2,3454.0,1313,30,5.47,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
97,0,53,3,35,5,3,2,3789.0,1609,42,0.45,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
98,0,56,3,50,3,2,0,9689.0,1158,19,3.52,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
99,1,47,2,37,2,3,3,5449.0,836,18,4.59,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
100,0,49,3,43,4,4,0,23032.0,1289,22,1.25,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
101,0,41,3,34,5,3,3,34516.0,1487,26,0.59,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
102,0,53,3,34,6,2,2,2940.0,1259,33,0.43,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
103,0,44,2,32,3,3,3,3031.0,1298,15,1.02,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
104,0,44,3,25,3,3,0,1862.0,1226,34,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
105,0,43,4,33,2,3,3,8358.0,1566,37,1.51,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
106,0,53,2,36,6,1,2,34516.0,1022,21,0.27,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
107,0,44,1,36,5,2,3,14450.0,1235,30,2.49,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
108,0,62,1,56,6,0,0,1438.3,1951,44,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
109,0,54,4,36,6,3,2,33791.0,1047,31,0.58,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
110,0,57,4,39,4,3,0,8466.0,1342,32,3.43,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
111,0,42,3,36,5,3,3,15088.0,1107,21,0.57,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
112,0,42,4,36,5,1,2,3263.0,1251,35,8.33,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
113,0,54,0,36,2,2,2,1494.0,1305,24,7.53,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
114,0,48,3,35,6,1,0,13551.0,1388,37,1.35,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
115,0,49,1,36,6,2,2,18886.0,1235,18,0.47,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
116,0,52,3,48,3,2,0,11976.0,2089,36,1.46,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
117,0,50,3,39,4,1,4,9964.0,1626,25,2.36,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
118,0,49,1,36,4,6,3,24159.0,1111,24,0.05,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
119,0,53,2,44,3,2,3,5362.0,1553,38,5.55,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
120,0,50,2,36,3,2,2,34516.0,1064,13,0.03,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
121,0,55,1,36,4,1,0,3174.0,1243,29,10.15,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
122,0,53,1,47,3,2,2,12262.0,1659,38,0.15,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
123,0,47,3,41,4,3,3,3788.0,1594,47,6.47,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
124,0,55,2,42,2,3,2,34516.0,1268,42,0.44,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
125,0,47,3,36,4,2,2,2926.0,1304,24,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
126,0,58,4,52,6,1,0,32090.0,1368,30,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
127,1,53,2,41,3,3,2,11669.0,720,23,3.11,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
128,0,52,2,45,3,1,2,13532.0,1521,29,1.36,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
129,0,50,1,36,4,2,2,11888.0,1137,30,2.56,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
130,0,42,1,36,5,1,2,2393.0,978,16,1.23,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
131,0,43,4,39,5,1,2,6111.0,1221,16,6.52,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
132,0,57,4,46,3,2,3,19270.0,1565,28,1.26,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
133,0,52,1,43,3,1,4,3710.0,1578,34,11.18,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
134,0,47,2,37,2,1,3,3235.0,1493,32,4.06,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
135,0,44,3,38,3,1,0,11749.0,1178,27,1.07,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
136,0,53,2,36,5,3,2,7753.0,991,26,4.31,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
137,0,45,4,40,5,1,0,10408.0,2560,42,1.54,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
138,0,63,1,36,6,2,3,3967.0,1657,29,6.35,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
139,0,39,2,27,4,2,2,6205.0,1204,19,6.46,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
140,1,48,5,38,1,3,3,8025.0,673,18,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
141,0,51,1,42,6,2,3,9036.0,1131,18,4.18,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
142,0,54,4,34,2,3,2,14926.0,1576,25,2.49,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
143,0,59,1,36,3,2,3,6335.0,1217,20,2.58,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
144,1,59,1,53,2,3,3,14979.0,530,10,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
145,1,48,4,38,3,2,3,2732.0,739,16,0.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
146,0,41,2,32,6,3,2,2250.0,1617,31,15.41,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
147,0,55,2,50,3,2,0,10916.0,1592,34,2.21,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
148,0,47,4,36,4,1,3,5349.0,1343,30,0.23,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
149,0,41,2,24,4,1,3,9366.0,1303,39,1.58,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
150,0,40,3,28,5,1,0,21617.0,1351,22,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
151,0,68,1,56,5,2,3,13860.0,1910,32,1.59,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
152,0,50,1,31,2,2,3,18386.0,1298,22,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
153,0,47,4,41,6,2,2,2405.0,1087,29,1.04,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
154,0,53,1,47,4,2,3,2154.0,1439,26,7.12,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
155,0,42,5,36,3,3,3,2038.0,1238,28,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
156,0,48,4,38,6,1,3,8135.0,1716,29,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
157,0,49,1,38,6,1,3,9364.0,1099,27,1.06,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
158,0,44,2,35,4,3,2,32643.0,1058,24,0.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
159,0,43,4,34,2,3,1,3195.0,1285,29,10.12,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
160,0,56,0,43,5,2,1,2852.0,1651,28,5.59,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
161,0,59,1,36,2,3,3,4224.0,1152,31,5.09,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
162,0,46,1,36,3,2,2,20459.0,1767,38,1.41,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
163,0,47,4,41,6,5,3,3482.0,1039,24,10.07,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
164,0,50,4,40,5,2,3,3065.0,1130,28,8.32,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
165,0,51,3,43,3,1,2,2185.0,1645,30,13.26,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
166,0,47,3,36,4,1,0,1611.0,1413,29,7.43,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
167,0,58,4,47,3,3,3,2822.0,1218,23,1.17,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
168,1,46,5,33,6,3,3,32975.0,597,17,1.16,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
169,0,53,3,47,5,2,2,1438.3,2184,53,0.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
170,0,45,4,36,4,3,3,15875.0,1592,37,1.48,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
171,0,52,1,45,6,3,3,6703.0,1388,28,2.13,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
172,1,53,2,36,2,2,1,3212.0,757,20,0.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
173,0,50,2,45,3,1,3,34516.0,1504,34,0.37,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
